Handedness,height,weight,avg,Home Runs,Players
Right,70,160,0.249,31,173
Right,73,185,0.156,1,174
Right,73,190,0.235,49,175
Right,72,175,0.255,58,176
Right,74,155,0.267,101,177
Right,71,185,0.264,7,178
Right,72,170,0.226,4,179
Right,72,185,0.269,38,180
Left,68,170,0.281,54,181
Right,71,175,0.127,2,182
Both,72,190,0.229,0,183
Left,72,180,0.233,25,184
Left,72,175,0.247,12,185
Left,75,205,0.261,118,186
Right,75,195,0.238,9,187
Right,73,185,0.133,1,188
Left,71,170,0.243,20,189
Left,70,170,0.278,130,190
Right,71,170,0.283,21,191
Right,69,170,0.247,40,192
Right,75,205,0,0,193
Left,73,190,0,0,194
Left,69,170,0.286,103,195
Right,71,180,0,0,196
Right,74,195,0.215,12,197
Right,72,180,0.256,40,198
Right,75,205,0.247,121,199
Right,74,195,0.238,122,200
Right,72,170,0.236,40,201
Both,74,185,0.23,17,202
Right,70,180,0,0,203
Right,74,175,0.279,379,204
Right,70,160,0.239,23,205
Right,71,180,0.29,191,206
Right,75,215,0.239,49,207
Right,73,175,0,0,208
Both,72,180,0.251,74,209
Right,74,180,0,0,210
Right,76,205,0,0,211
Right,75,215,0.246,65,212
Left,70,165,0,0,213
Left,72,180,0.23,24,214
Left,73,185,0.272,26,215
Right,76,195,0,0,216
Right,72,187,0.221,30,217
Both,74,180,0.257,122,218
Left,77,205,0,0,219
Right,71,182,0,0,220
Right,73,170,0.232,14,221
Right,77,200,0,0,222
Left,74,210,0.233,121,223
Right,72,185,0.229,2,224
Left,72,195,0,0,225
Right,76,180,0.225,50,226
Right,74,175,0.138,0,227
Right,74,180,0,0,228
Left,72,180,0.25,42,229
Both,69,170,0.256,27,230
Right,73,185,0.247,65,231
Right,70,178,0.221,12,232
Right,74,190,0.243,173,233
Right,74,190,0.215,43,234
Right,73,180,0.264,113,235
Right,73,185,0.22,9,236
Left,74,182,0.235,14,237
Right,71,185,0.25,17,238
Right,72,185,0.269,12,239
Right,73,180,0.274,348,240
Both,70,164,0.253,21,241
Right,70,178,0.245,22,242
Right,72,190,0.221,24,243
Right,70,175,0.252,26,244
Left,68,180,0.196,5,245
Left,75,195,0.194,7,246
Left,74,185,0.203,12,247
Right,75,180,0,0,248
Left,72,182,0.248,46,249
Right,76,190,0,0,250
Right,75,170,0.215,1,251
Left,73,185,0.277,147,252
Right,71,185,0,0,253
Both,72,180,0.236,29,254
Right,70,180,0.237,124,255
Both,72,165,0.237,8,256
Left,72,180,0.229,12,257
Right,73,170,0.234,42,258
Left,74,175,0.22,0,259
Right,71,175,0.251,25,260
Right,72,155,0.255,2,261
Right,72,178,0.228,3,262
Left,72,175,0.232,36,263
Left,72,170,0.284,165,264
Left,71,160,0.205,3,265
Right,74,189,0.258,166,266
Left,78,200,0,0,267
Right,72,195,0.254,242,268
Right,74,195,0.236,76,269
Right,76,190,0,0,270
Right,70,165,0.219,0,271
Right,76,205,0.232,79,272
Left,77,220,0,0,273
Right,72,180,0.216,4,274
Right,69,170,0.241,27,275
Both,70,165,0.237,4,276
Right,72,190,0.258,23,277
Left,72,185,0.229,24,278
Right,69,150,0.244,70,279
Right,72,190,0.245,22,280
Right,75,195,0.278,267,281
Left,72,170,0.328,92,282
Right,72,180,0.197,6,283
Right,72,175,0.264,195,284
Left,73,180,0.257,56,285
Left,69,170,0,0,286
Both,74,200,0,0,287
Right,74,185,0.281,234,288
Left,72,165,0.258,51,289
Left,76,200,0.216,41,290
Right,73,180,0,0,291
Left,73,197,0.281,33,292
Right,71,170,0.215,4,293
Left,73,185,0.283,306,294
Right,74,193,0.273,166,295
Left,72,180,0.248,390,296
Right,76,215,0,0,297
Right,75,210,0.262,31,298
Left,70,160,0,0,299
Left,72,190,0.293,118,300
Right,74,215,0,0,301
Right,73,195,0,0,302
Both,73,200,0.234,6,303
Right,71,190,0.292,113,304
Left,75,193,0.264,241,305
Right,69,165,0.226,5,306
Right,73,170,0.228,20,307
Right,72,186,0.273,39,308
Left,72,185,0.246,9,309
Right,75,203,0,0,310
Right,70,185,0.229,29,311
Right,71,165,0.208,12,312
Left,72,210,0.255,50,313
Both,71,175,0.251,27,314
Right,75,185,0,0,315
Right,78,225,0,0,316
Right,72,215,0.248,58,317
Left,75,180,0.26,30,318
Both,74,190,0,0,319
Right,71,170,0.241,14,320
Right,73,195,0.244,77,321
Right,72,160,0,0,322
Left,71,175,0,0,323
Right,76,175,0.22,2,324
Right,73,175,0.247,59,325
Right,72,175,0.25,7,326
Right,78,210,0,0,327
Left,71,176,0.247,197,328
Right,72,170,0.134,0,329
Right,72,195,0.237,2,330
Right,70,177,0,0,331
Right,75,185,0.211,6,332
Right,76,210,0,0,333
Right,68,155,0.224,2,334
Right,69,155,0.235,0,335
Right,70,165,0.233,28,336
Both,72,175,0.231,13,337
Right,71,175,0.26,112,338
Right,73,185,0,0,339
Right,73,170,0.236,56,340
Both,74,190,0.245,26,341
Left,71,180,0.248,22,342
Left,73,185,0.24,19,343
Left,71,170,0.254,6,344
Right,76,215,0.282,86,345
Right,74,185,0.243,13,346
Right,73,195,0.258,23,347
Right,73,200,0.261,240,348
Left,74,190,0.279,292,349
Left,70,175,0.264,7,350
Left,71,160,0.265,200,351
Right,76,210,0,0,352
Left,72,198,0.268,27,353
Left,71,185,0,0,354
Left,73,175,0.256,42,355
Right,72,168,0.25,134,356
Right,73,197,0.27,108,357
Left,72,195,0.303,219,358
Right,71,191,0.213,6,359
Right,69,162,0.214,5,360
Right,75,190,0.263,256,361
Right,75,197,0.138,2,362
Right,74,175,0.257,1,363
Right,70,170,0.25,9,364
Left,76,205,0,0,365
Right,72,200,0.224,20,366
Right,71,185,0.221,19,367
Left,72,190,0.263,77,368
Right,73,180,0.279,34,369
Right,75,200,0.25,122,370
Left,72,186,0.22,16,371
Both,71,175,0,0,372
Right,72,190,0.235,18,373
Left,74,205,0.273,29,374
Right,74,175,0,0,375
Right,73,178,0.16,7,376
Right,74,175,0,0,377
Right,74,185,0,0,378
Both,73,185,0.257,163,379
Right,71,177,0,0,380
Right,73,200,0.17,5,381
Right,73,200,0.287,207,382
Right,70,175,0.252,15,383
Right,73,190,0.26,338,384
Right,73,187,0.161,6,385
Right,72,183,0.248,15,386
Left,75,175,0.242,9,387
Left,72,200,0.241,7,388
Right,71,195,0.199,18,389
Left,72,175,0.239,73,390
Right,75,205,0.239,26,391
Right,71,185,0,0,392
Left,72,190,0.278,164,393
Left,71,160,0.238,4,394
Left,80,215,0,0,395
Left,75,215,0.253,255,396
Right,72,180,0.26,68,397
Right,71,165,0.277,193,398
Right,70,160,0.254,55,399
Right,70,165,0.262,23,400
Left,72,180,0.195,12,401
Right,75,190,0,0,402
Right,71,165,0.238,7,403
Both,73,190,0,0,404
Right,74,175,0.163,2,405
Left,73,185,0.254,98,406
Right,72,195,0.222,13,407
Right,73,193,0.205,5,408
Left,74,197,0.239,100,409
Right,68,167,0.253,20,410
Right,71,155,0,0,411
Left,74,175,0.259,91,412
Left,77,200,0.167,1,413
Right,72,190,0.228,102,414
Left,73,195,0.236,13,415
Both,71,160,0.236,7,416
Left,75,195,0.137,6,417
Left,70,165,0.295,61,418
Left,75,190,0.267,153,419
Left,74,195,0.201,14,420
Left,74,195,0,0,421
Right,70,175,0.22,37,422
Left,71,175,0.285,452,423
Right,77,210,0,0,424
Right,71,175,0,0,425
Both,72,160,0.249,43,426
Right,74,190,0.26,43,427
Right,72,190,0.256,20,428
Right,76,204,0.216,11,429
Right,76,210,0.229,16,430
Right,74,215,0.287,64,431
Right,71,162,0.235,4,432
Right,70,170,0.208,6,433
Right,72,193,0.296,65,434
Left,71,220,0.257,84,435
Both,71,170,0.29,53,436
Right,74,190,0.28,32,437
Left,70,165,0.268,91,438
Right,76,170,0.277,60,439
Right,72,175,0,0,440
Both,71,185,0.261,20,441
Right,71,150,0.274,79,442
Right,72,185,0.199,39,443
Right,70,187,0.265,10,444
Right,72,190,0.258,30,445
Right,72,200,0.259,56,446
Both,72,165,0.231,5,447
Right,72,170,0.27,11,448
Left,72,185,0.244,17,449
Right,72,190,0.233,27,450
Right,77,205,0.165,13,451
Right,73,195,0.261,66,452
Right,75,195,0.245,10,453
Left,70,170,0.243,3,454
Right,75,185,0.235,21,455
Right,73,180,0.251,2,456
Right,70,180,0.259,32,457
Right,72,180,0.263,11,458
Right,75,185,0,0,459
Right,71,170,0.225,39,460
Both,68,155,0.125,0,461
Right,74,180,0.236,1,462
Right,72,165,0.24,7,463
Right,72,170,0.218,13,464
Right,69,160,0.23,25,465
Right,74,190,0.214,109,466
Right,72,178,0.132,0,467
Right,73,195,0.227,16,468
Right,72,175,0,0,469
Left,75,195,0.282,100,470
Left,71,173,0.264,96,471
Left,67,150,0.279,36,472
Right,73,210,0.123,4,473
Both,73,195,0,0,474
Right,78,225,0,0,475
Right,70,165,0.235,17,476
Right,72,190,0.248,95,477
Right,75,205,0.236,73,478
Both,73,204,0.206,16,479
Right,75,205,0,0,480
Right,72,170,0.251,5,481
Left,72,175,0.253,116,482
Both,73,170,0.252,14,483
Left,72,195,0.239,40,484
Left,74,190,0.299,63,485
Right,75,190,0.265,27,486
Both,73,180,0.263,13,487
Left,73,195,0.24,80,488
Left,76,205,0,0,489
Both,75,195,0,0,490
Left,72,190,0.264,14,491
Left,73,188,0.242,53,492
Right,74,195,0.247,31,493
Right,72,179,0.251,25,494
Right,72,190,0.213,12,495
Right,75,212,0.225,77,496
Right,71,187,0.287,26,497
Right,70,178,0,0,498
Right,74,185,0,0,499
Right,72,185,0.165,4,500
Both,72,189,0.104,4,501
Left,69,165,0,0,502
Right,75,190,0,0,503
Right,72,170,0.218,7,504
Left,73,180,0.248,39,505
Right,77,195,0,0,506
Right,74,190,0.28,68,507
Right,74,185,0.234,17,508
Right,76,205,0,0,509
Left,73,185,0,0,510
Right,68,170,0.245,13,511
Right,72,160,0.255,23,512
Right,74,200,0.253,160,513
Both,71,155,0.251,5,514
Right,70,170,0.267,11,515
Left,72,185,0.249,131,516
Left,75,185,0.253,52,517
Both,72,195,0.227,27,518
Left,72,185,0.289,174,519
Right,74,190,0.251,22,520
Right,76,195,0.223,22,521
Both,69,150,0.227,0,522
Right,68,165,0.248,2,523
Right,72,180,0,0,524
Right,73,165,0.246,13,525
Both,70,170,0.258,30,526
Right,71,170,0,0,527
Left,77,200,0,0,528
Right,77,170,0,0,529
Right,75,190,0.229,13,530
Right,73,180,0.243,13,531
Right,74,160,0,0,532
Right,74,195,0,0,533
Right,74,200,0.268,271,534
Right,75,195,0,0,535
Right,73,180,0.231,11,536
Right,74,210,0.225,268,537
Right,73,185,0.27,10,538
Left,72,193,0.247,188,539
Left,73,170,0.223,0,540
Right,70,165,0.216,10,541
Both,70,155,0.26,15,542
Left,71,175,0.27,12,543
Left,74,195,0.25,146,544
Left,74,200,0.257,27,545
Right,72,200,0.156,7,546
Right,72,187,0.24,24,547
Left,69,160,0.307,31,548
Both,74,195,0,0,549
Left,70,165,0.26,77,550
Left,73,180,0.235,41,551
Right,71,160,0.274,41,552
Right,75,190,0,0,553
Right,74,190,0.234,15,554
Right,71,185,0.225,20,555
Left,75,195,0.259,32,556
Right,75,195,0.258,66,557
Right,72,190,0.239,19,558
Left,74,185,0,0,559
Right,76,215,0.258,196,560
Both,74,200,0,0,561
Right,76,209,0.274,159,562
Right,73,195,0.255,29,563
Right,73,195,0.277,218,564
Right,73,175,0.241,14,565
Right,71,180,0,0,566
Right,70,170,0.205,9,567
Right,74,195,0.244,33,568
Right,66,160,0.239,3,569
Left,69,160,0.256,8,570
Right,73,165,0.228,10,571
Right,75,175,0.285,117,572
Right,70,165,0.249,23,573
Right,72,192,0.214,18,574
Right,71,172,0.279,22,575
Right,70,192,0.294,272,576
Left,75,205,0.249,200,577
Right,73,190,0,0,578
Right,73,195,0,0,579
Right,72,210,0.192,11,580
Left,71,185,0.226,30,581
Right,70,185,0.238,17,582
Right,75,205,0.269,81,583
Right,75,205,0,0,584
Both,78,212,0.114,0,585
Left,71,175,0.247,40,586
Right,74,183,0.278,242,587
Right,73,195,0.218,6,588
Right,73,190,0.212,16,589
Both,71,180,0.25,33,590
Right,73,175,0,0,591
Right,76,205,0.131,6,592
Left,73,182,0.246,16,593
Right,74,200,0.28,38,594
Left,75,190,0.224,82,595
Right,75,195,0,0,596
Right,75,215,0.249,40,597
Right,75,190,0,0,598
Left,73,190,0.253,139,599
Right,75,180,0,0,600
Right,76,215,0.229,37,601
Left,74,195,0.221,20,602
Left,72,180,0.296,162,603
Right,75,185,0,0,604
Right,75,200,0.066,0,605
Left,72,185,0.262,123,606
Right,70,180,0.24,80,607
Left,72,180,0.276,14,608
Left,73,195,0.276,203,609
Right,77,220,0.25,20,610
Right,74,215,0.238,15,611
Both,69,140,0.245,13,612
Right,70,169,0.25,1,613
Left,72,175,0.29,26,614
Right,73,180,0.279,201,615
Left,75,190,0.271,35,616
Left,73,165,0.271,18,617
Left,77,205,0,0,618
Right,76,192,0.245,127,619
Right,70,154,0.25,2,620
Right,72,175,0,0,621
Right,75,190,0,0,622
Right,74,200,0.244,245,623
Right,75,185,0.17,0,624
Right,70,162,0.242,77,625
Left,72,175,0.227,13,626
Both,72,160,0.265,6,627
Right,73,220,0.276,307,628
Left,71,170,0.265,86,629
Right,76,190,0,0,630
Left,76,200,0,0,631
Right,70,168,0.233,26,632
Right,75,210,0.268,76,633
Right,71,170,0.236,82,634
Left,71,165,0.261,2,635
Left,74,160,0.273,235,636
Right,74,170,0,0,637
Right,70,175,0.272,44,638
Both,67,160,0.264,93,639
Left,72,175,0.271,1,640
Right,75,215,0.247,38,641
Left,75,205,0.211,21,642
Right,71,170,0.258,48,643
Left,72,185,0.264,14,644
Right,74,195,0.265,23,645
Right,74,195,0,0,646
Left,75,205,0.26,113,647
Right,76,195,0.253,36,648
Right,72,165,0.249,40,649
Left,73,195,0,0,650
Left,76,205,0,0,651
Right,75,190,0.272,56,652
Right,73,195,0.154,12,653
Right,73,195,0.251,85,654
Right,70,170,0.267,44,655
Right,72,180,0.265,80,656
Left,72,195,0.262,563,657
Left,69,150,0.251,7,658
Left,77,220,0,0,659
Both,72,160,0.236,3,660
Left,68,170,0.265,12,661
Right,73,180,0.238,14,662
Right,72,180,0.237,27,663
Left,74,205,0.266,72,664
Right,71,180,0.239,12,665
Both,72,161,0.254,11,666
Both,73,190,0.234,59,667
Right,75,180,0,0,668
Right,70,154,0.24,8,669
Both,74,185,0.265,42,670
Left,73,180,0.28,34,671
Right,73,175,0,0,672
Left,67,160,0.271,268,673
Both,72,190,0.267,35,674
Right,76,210,0,0,675
Left,74,195,0.255,106,676
Right,74,215,0.256,61,677
Both,72,175,0.233,14,678
Left,71,180,0.216,12,679
Left,72,180,0.229,12,680
Right,72,185,0,0,681
Right,72,180,0.199,7,682
Right,73,170,0.239,69,683
Right,74,200,0,0,684
Both,71,160,0.205,6,685
Right,72,170,0,0,686
Right,73,190,0.2,14,687
Right,71,165,0.254,27,688
Left,70,180,0.271,52,689
Right,73,185,0.271,84,690
Left,72,170,0.238,6,691
Left,75,175,0.272,20,692
Right,74,180,0.266,224,693
Left,72,175,0.254,121,694
Right,73,195,0.219,26,695
Left,70,160,0.26,1,696
Right,73,190,0,0,697
Left,74,195,0.237,112,698
Right,76,185,0,0,699
Right,73,190,0,0,700
Left,73,180,0.252,133,701
Right,71,170,0.226,52,702
Left,73,175,0.259,17,703
Left,73,185,0,0,704
Right,73,178,0.271,41,705
Right,74,195,0.276,130,706
Right,77,200,0.136,3,707
Right,72,175,0.233,32,708
Left,71,180,0.253,86,709
Left,72,180,0.265,19,710
Right,74,190,0,0,711
Right,75,190,0.274,107,712
Left,77,200,0,0,713
Right,77,205,0,0,714
Right,73,165,0,0,715
Both,72,173,0.255,5,716
Left,73,185,0,0,717
Right,72,170,0.236,24,718
Left,77,175,0,0,719
Right,71,175,0.26,21,720
Right,80,222,0.168,10,721
Left,74,160,0.227,19,722
Right,72,190,0.279,121,723
Right,70,155,0,0,724
Right,72,205,0.288,78,725
Left,73,180,0.266,15,726
Right,71,185,0,0,727
Right,71,160,0.236,10,728
Right,75,208,0,0,729
Right,71,165,0.244,57,730
Right,71,175,0.249,13,731
Right,72,170,0.237,14,732
Right,70,155,0.257,7,733
Both,73,180,0.245,153,734
Right,74,190,0,0,735
Both,72,180,0.238,17,736
Right,72,160,0.245,7,737
Right,72,165,0.172,1,738
Right,74,165,0.222,22,739
Right,73,190,0,0,740
Right,70,160,0.226,2,741
Left,71,180,0.191,5,742
Right,73,180,0.213,6,743
Right,74,205,0.282,39,744
Both,70,175,0.257,21,745
Left,74,190,0.234,30,746
Right,71,185,0,0,747
Left,70,170,0.258,31,748
Left,74,190,0.201,7,749
Right,70,155,0.251,5,750
Right,74,185,0.204,3,751
Right,71,200,0,0,752
Right,71,190,0,0,753
Right,72,190,0.273,215,754
Right,74,190,0,0,755
Left,72,180,0.264,8,756
Right,72,185,0.281,93,757
Both,72,170,0.127,5,758
Left,72,180,0.247,90,759
Left,75,175,0.278,99,760
Right,68,164,0.213,25,761
Right,73,197,0.267,389,762
Right,72,180,0.236,49,763
Right,73,180,0,0,764
Both,73,175,0.236,8,765
Right,76,200,0,0,766
Right,70,170,0.248,31,767
Right,73,188,0.223,45,768
Both,71,180,0.245,42,769
Right,69,173,0.236,37,770
Right,74,180,0.228,8,771
Left,74,195,0,0,772
Both,70,169,0.257,27,773
Right,72,180,0.25,14,774
Left,72,194,0.227,27,775
Right,70,160,0.244,20,776
Right,69,175,0.252,7,777
Both,70,160,0.245,3,778
Right,69,175,0.227,5,779
Both,69,170,0.277,2,780
Left,74,185,0.241,6,781
Right,76,186,0,0,782
Right,71,195,0.255,130,783
Right,73,180,0.257,189,784
Right,74,195,0.23,19,785
Left,74,190,0.263,36,786
Both,71,193,0.285,248,787
Left,71,160,0.277,252,788
Right,71,160,0.213,8,789
Right,78,235,0,0,790
Left,72,180,0,0,791
Right,74,200,0.241,25,792
Right,71,180,0.305,163,793
Right,74,195,0.254,105,794
Left,77,190,0,0,795
Left,72,195,0.278,130,796
Right,70,165,0.273,50,797
Right,79,190,0,0,798
Right,72,180,0,0,799
Right,72,180,0,0,800
Right,74,200,0.266,10,801
Right,74,180,0.233,4,802
Left,72,195,0.29,80,803
Right,74,187,0,0,804
Left,70,188,0.258,8,805
Right,74,220,0.229,15,806
Right,73,200,0,0,807
Right,75,195,0,0,808
Right,74,210,0,0,809
Right,75,170,0,0,810
Right,72,175,0,0,811
Both,72,175,0,0,812
Right,73,175,0,0,813
Right,75,195,0.267,354,814
Left,74,175,0,0,815
Left,77,190,0.154,2,816
Right,72,188,0.221,20,817
Right,72,195,0.214,8,818
Right,73,180,0.213,20,819
Left,73,185,0.264,76,820
Both,72,160,0.219,7,821
Left,69,180,0.257,45,822
Right,72,165,0.22,9,823
Right,76,190,0,0,824
Right,74,195,0.146,1,825
Right,76,200,0,0,826
Right,73,175,0,0,827
Left,68,170,0.23,7,828
Right,74,205,0,0,829
Right,72,195,0,0,830
Right,75,180,0,0,831
Left,73,209,0.239,123,832
Right,74,175,0.285,199,833
Right,72,185,0,0,834
Right,73,180,0.235,11,835
Right,70,160,0.304,31,836
Left,75,185,0,0,837
Right,77,230,0.215,6,838
Left,73,195,0.243,9,839
Right,71,180,0,0,840
Right,75,200,0,0,841
Right,74,190,0.259,237,842
Right,71,175,0.278,41,843
Left,70,186,0.251,96,844
Right,71,155,0.261,20,845
Right,70,165,0.236,28,846
Left,75,220,0.271,110,847
Right,75,215,0.247,138,848
Right,76,220,0,0,849
Right,72,175,0,0,850
Right,73,180,0.236,7,851
Right,72,175,0.22,34,852
Right,76,218,0.2,22,853
Right,72,175,0.247,1,854
Right,69,165,0.257,146,855
Both,71,180,0.244,16,856
Right,71,185,0.247,111,857
Right,75,200,0.299,204,858
Left,72,180,0.258,34,859
Right,73,193,0,0,860
Left,71,170,0.247,8,861
Left,73,180,0.311,23,862
Right,73,165,0.283,36,863
Right,75,205,0,0,864
Right,73,175,0,0,865
Left,73,190,0.261,80,866
Left,76,230,0.266,339,867
Right,73,195,0,0,868
Right,75,190,0.173,12,869
Right,75,185,0,0,870
Right,74,190,0.251,83,871
Left,74,190,0,0,872
Left,71,187,0.267,153,873
Right,73,185,0.246,1,874
Right,71,170,0.264,9,875
Right,70,165,0.269,34,876
Right,71,182,0.252,251,877
Right,71,209,0.273,325,878
Right,72,182,0.291,102,879
Right,73,193,0.248,98,880
Right,74,205,0.262,21,881
Left,73,200,0.214,24,882
Right,77,205,0.193,5,883
Right,72,180,0.223,27,884
Right,75,205,0.23,57,885
Left,70,190,0.259,33,886
Both,74,160,0.259,5,887
Right,70,175,0.189,5,888
Right,76,182,0,0,889
Right,71,180,0,0,890
Right,72,180,0.26,6,891
Right,74,195,0.23,55,892
Right,75,200,0.254,253,893
Right,75,205,0.256,94,894
Right,71,170,0,0,895
Left,74,192,0,0,896
Right,75,200,0,0,897
Right,72,178,0,0,898
Right,74,185,0,0,899
Right,73,195,0.242,115,900
Right,76,200,0,0,901
Right,75,190,0,0,902
Right,74,178,0.265,102,903
Left,71,175,0,0,904
Right,73,170,0.214,5,905
Right,74,175,0,0,906
Left,74,185,0.258,219,907
Left,72,195,0.115,5,908
Right,71,180,0,0,909
Left,70,185,0.238,24,910
Left,73,205,0,0,911
Right,72,185,0,0,912
Left,74,196,0.261,24,913
Both,69,165,0.237,23,914
Right,69,175,0.272,46,915
Left,75,175,0,0,916
Right,74,180,0,0,917
Right,75,210,0.235,46,918
Left,69,165,0.212,2,919
Left,70,170,0.25,147,920
Right,73,175,0.242,23,921
Right,73,195,0.228,8,922
Right,74,180,0,0,923
Left,73,190,0.274,16,924
Right,75,210,0.23,81,925
Right,74,175,0.193,6,926
Right,73,190,0.241,21,927
Right,74,208,0.251,155,928
Right,73,185,0.248,117,929
Right,77,200,0,0,930
Right,74,190,0,0,931
Right,72,185,0.286,78,932
Right,70,165,0.23,3,933
Right,71,180,0.261,36,934
Left,71,185,0.306,75,935
Right,75,180,0.157,5,936
Right,73,175,0.242,18,937
Right,74,225,0.262,69,938
Both,73,180,0.267,64,939
Right,72,190,0,0,940
Right,75,170,0.268,31,941
Right,71,165,0.266,22,942
Right,75,210,0.261,116,943
Right,72,180,0.164,5,944
Right,74,185,0,0,945
Left,70,180,0.271,8,946
Right,75,200,0.267,78,947
Right,77,200,0.151,1,948
Left,76,210,0.253,37,949
Left,76,220,0.242,81,950
Right,71,170,0,0,951
Right,74,190,0.249,65,952
Left,72,180,0,0,953
Right,76,200,0.213,12,954
Left,76,195,0,0,955
Right,72,170,0.276,66,956
Right,74,200,0.24,61,957
Left,72,190,0.233,55,958
Left,71,200,0.274,90,959
Both,72,180,0.287,314,960
Right,78,215,0.158,0,961
